,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,bb6,v0,187,v1,0.947098976109215,0.9279279279279279,0.947098976109215,0.9469320565754507,0.9444796061884669,0.029010238907849817
1,svm,apns,bb6,v0,187,v1,0.6638225255972696,0.6159844054580896,0.6638225255972696,0.6072256496775901,0.6351851851851852,0.3361774744027304
2,RandomForest,apns,187,v1,0c1,v2,0.9240654205607477,0.865,0.9240654205607477,0.9245125610431879,0.9304856211021484,0.050233644859813076
3,svm,apns,187,v1,0c1,v2,0.7768691588785047,0.6583969465648855,0.7768691588785047,0.7755967134956566,0.8038345598760547,0.19509345794392524
4,RandomForest,apns,0c1,v2,557,v3,0.9661214953271028,0.9555555555555556,0.9661214953271028,0.966141297737269,0.9657606529585783,0.003504672897196248
5,svm,apns,0c1,v2,557,v3,0.9450934579439252,0.9078947368421053,0.9450934579439252,0.9453025929759086,0.9481231370303633,0.026869158878504662
6,RandomForest,apns,557,v3,153,v4,0.93007769145394,0.9029126213592233,0.93007769145394,0.9302168455254831,0.9313603842497624,0.018867924528301883
7,svm,apns,557,v3,153,v4,0.9134295227524972,0.8561797752808988,0.9134295227524972,0.9137562725243081,0.9190373742932908,0.05549389567147611
8,RandomForest,apns,153,v4,266,v5,0.9100817438692098,0.8912213740458015,0.9100817438692098,0.9101576948199596,0.9106007407210748,0.013623978201634857
9,svm,apns,153,v4,266,v5,0.784741144414169,0.6954022988505747,0.784741144414169,0.7812565377115438,0.7963879891679498,0.16984559491371481
10,RandomForest,assj,a6b,v0,859,v1,0.964208857175218,0.9594509308930262,0.964208857175218,0.9638087835897511,0.9474081582221209,0.022426095820591185
11,svm,assj,a6b,v0,859,v1,0.7232982217691698,0.7155685131195335,0.7232982217691698,0.6317224378762617,0.5461599495107949,0.2757956733491902
12,RandomForest,assj,859,v1,dd0,v2,0.9622452388907451,0.96784,0.9622452388907451,0.9621254534918172,0.9528518816373921,0.007016371533578369
13,svm,assj,859,v1,dd0,v2,0.9284998329435349,0.9120225887947689,0.9284998329435349,0.9261570023846134,0.8899420774588367,0.060363069384118506
14,RandomForest,assj,dd0,v2,dd1,v3,0.9690663027408165,0.9670518425983761,0.9690663027408165,0.968778803436792,0.9535713291583187,0.017059024223814334
15,svm,assj,dd0,v2,dd1,v3,0.7435460025019902,0.7353737492642731,0.7435460025019902,0.6617402003966505,0.5567463841652567,0.25486182190378703
16,RandomForest,assj,dd1,v3,302,v4,0.9384922721059825,0.9569234611062555,0.9384922721059825,0.9376565500414356,0.8774749388429669,0.01103984859636209
17,svm,assj,dd1,v3,302,v4,0.8559562611712753,0.8526554404145078,0.8559562611712753,0.8088300520036303,0.5749792862829373,0.1429923246766902
18,RandomForest,assj,302,v4,eee,v5,0.9633497133497133,0.9633772962788507,0.9633497133497133,0.9619210755312728,0.8961698729078409,0.027027027027027084
19,svm,assj,302,v4,eee,v5,0.8666052416052417,0.8641287201598485,0.8666052416052417,0.8239295673018711,0.5798510313216196,0.13114250614250622
20,RandomForest,joda,639,v0,1ad,v1,0.9155956056580743,0.9181537126430547,0.9155956056580743,0.914929590752529,0.9014868855134037,0.02394629137646298
21,svm,joda,639,v0,1ad,v1,0.7979464349824082,0.7739868219153353,0.7979464349824082,0.7809561856502608,0.7342407067074392,0.15753572197888988
22,RandomForest,joda,1ad,v1,f12,v2,0.95563264560891,0.9525754982609176,0.95563264560891,0.9553591698078484,0.9459534878316931,0.018367719554500672
23,svm,joda,1ad,v1,f12,v2,0.7702756983750229,0.7378840738094238,0.7702756983750229,0.734318982542745,0.6794614051827679,0.22570750410808837
24,RandomForest,joda,f12,v2,c3e,v3,0.9289284938056944,0.913878367003367,0.9289284938056944,0.9276796664601932,0.9082237937550066,0.0475259001666305
25,svm,joda,f12,v2,c3e,v3,0.8517351300441933,0.8176341474805024,0.8517351300441933,0.8416690950104496,0.7976648562195381,0.13464464246902852
26,RandomForest,lafj,7bd,v0,92c,v1,0.9173745173745174,0.8816114681166585,0.9173745173745174,0.9173719225346394,0.9188679558304356,0.04066924066924066
27,svm,lafj,7bd,v0,92c,v1,0.6061776061776062,0.5496590572190928,0.6061776061776062,0.5455918754399235,0.6210608393279007,0.3881595881595881
28,RandomForest,lafj,92c,v1,be1,v2,0.9318294496777392,0.900286944045911,0.9318294496777392,0.9318258805214327,0.932939969214982,0.035200793257312846
29,svm,lafj,92c,v1,be1,v2,0.8557263262270699,0.7764967637540453,0.8557263262270699,0.8539152219072818,0.8599380116225132,0.12964799206742683
30,RandomForest,lafj,be1,v2,d7e,v3,0.8993815413891532,0.8596053997923156,0.8993815413891532,0.8988621238061683,0.8978147090650517,0.06018078020932438
31,svm,lafj,be1,v2,d7e,v3,0.7642721217887726,0.6862493997118617,0.7642721217887726,0.7494221618476528,0.7583645004291839,0.23049476688867743
32,RandomForest,lafj,d7e,v3,be9,v4,0.8116120371406198,0.9051210797935689,0.8116120371406198,0.8149587136421427,0.8200983978699046,0.0814408770555991
33,svm,lafj,d7e,v3,be9,v4,0.7472871685870903,0.7204274041483344,0.7472871685870903,0.7009086536554491,0.6465079862729222,0.2448819778498713
34,RandomForest,lafj,be9,v4,e4e,v5,0.9094126755889835,0.8973335462238544,0.9094126755889835,0.9076548353967807,0.8857416144814818,0.051653578144010615
35,svm,lafj,be9,v4,e4e,v5,0.8181617077756885,0.7806163828061639,0.8181617077756885,0.799403034906677,0.7481113641946361,0.17719278840836183
36,RandomForest,lafj,e4e,v5,c8e,v6,0.928013977868375,0.9176489585015339,0.928013977868375,0.9264313052801683,0.899408184917059,0.046825859056493946
37,svm,lafj,e4e,v5,c8e,v6,0.7748398369248689,0.751171875,0.7748398369248689,0.7331343873027798,0.6561176804477908,0.22003494467093776
38,RandomForest,lang,294,v0,cff,v1,0.9685651179301097,0.9686916401186422,0.9685651179301097,0.9683463152596464,0.9556004292986774,0.013528437327443354
39,svm,lang,294,v0,cff,v1,0.943835292261576,0.9313565993177644,0.943835292261576,0.9423145857342664,0.909448299275819,0.047014277825984
40,RandomForest,lang,cff,v1,951,v2,0.9681860975992468,0.9676011781389767,0.9681860975992468,0.9679431948547493,0.9545417296550682,0.014788953397144255
41,svm,lang,cff,v1,951,v2,0.9314686960615095,0.9163669988698243,0.9314686960615095,0.9290374732325044,0.8886573318499302,0.05919504158167266
42,RandomForest,lang,951,v2,959,v3,0.9684606935509179,0.9693587218209674,0.9684606935509179,0.9682603239462575,0.9560324057591839,0.012396045818295898
43,svm,lang,951,v2,959,v3,0.9470029813274753,0.9363211264645616,0.9470029813274753,0.9457393556116727,0.9156735715291076,0.04209163659187187
44,RandomForest,lang,959,v3,724,v4,0.968675265613361,0.9690282405637188,0.968675265613361,0.9684638081095729,0.955921095869694,0.013133649586388074
45,svm,lang,959,v3,724,v4,0.9440545732544008,0.9321422974455414,0.9440545732544008,0.9425804090358497,0.9102411611012988,0.04590896616615048
46,RandomForest,lang,724,v4,e09,v5,0.9646340989467957,0.9605953528215012,0.9646340989467957,0.964226675470356,0.9468719423538422,0.021841358672418543
47,svm,lang,724,v4,e09,v5,0.9420931949788193,0.9292131350681536,0.9420931949788193,0.9404669285260777,0.9066959125455026,0.04865726166880413
48,RandomForest,lang,e09,v5,e87,v6,0.9631371359223301,0.9606966467377177,0.9631371359223301,0.9627273139755488,0.9449594025266591,0.020479368932038833
49,svm,lang,e09,v5,e87,v6,0.919751213592233,0.9022662202164313,0.919751213592233,0.9159925001023961,0.8660325869389778,0.07251213592233008
50,RandomForest,msg,83f,v0,356,v1,0.9293313069908815,0.9040833104960263,0.9293313069908815,0.9291450396773099,0.9278827917152848,0.0357142857142857
51,svm,msg,83f,v0,356,v1,0.7056231003039514,0.6384774048378024,0.7056231003039514,0.6739095722314933,0.6941967432973587,0.2916413373860183
52,RandomForest,msg,356,v1,bae,v2,0.9385098743267505,0.9195073044972787,0.9385098743267505,0.9384793084475503,0.9385233719164542,0.022591262716935956
