,ML_Algorithm,subject,Train,Test,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,cproj_mutationfeatures_CLEAN2,0.5,0.5,0.7408611719605696,0.755154351944723,0.7408611719605696,0.7387712594995948,0.7291021505093495,0.04165525739320919
1,svm,cproj_mutationfeatures_CLEAN2,0.5,0.5,0.7411692223439211,0.7474491173136101,0.7411692223439211,0.7377392517723247,0.7264875717024623,0.06140470974808321
2,RandomForest,cproj_mutationfeatures_CLEAN2,0.6,0.4,0.7414965986394558,0.7568545581071677,0.7414965986394558,0.739444152296075,0.7294998143691348,0.04047405125572234
3,svm,cproj_mutationfeatures_CLEAN2,0.6,0.4,0.7419672271424294,0.7489057975893879,0.7419672271424294,0.7385111842203929,0.7268522758679516,0.061053352158473406
4,RandomForest,cproj_mutationfeatures_CLEAN2,0.7,0.30000000000000004,0.7456360524814604,0.7536298054972148,0.7456360524814604,0.7428655283222879,0.7325893297015896,0.05345122646891043
5,svm,cproj_mutationfeatures_CLEAN2,0.7,0.30000000000000004,0.7425556189389618,0.7474583895636527,0.7425556189389618,0.7390899158956069,0.7280842876386046,0.06280661722760983
6,RandomForest,cproj_mutationfeatures_CLEAN2,0.8,0.19999999999999996,0.7486951313425173,0.7576758915048878,0.7486951313425173,0.7461815405298143,0.7361472531270592,0.049884487036878644
7,svm,cproj_mutationfeatures_CLEAN2,0.8,0.19999999999999996,0.7468126978694276,0.747835353669908,0.7468126978694276,0.742796425529787,0.7311742303290363,0.07076238555660141
8,RandomForest,cproj_mutationfeatures_CLEAN2,0.9,0.09999999999999998,0.7462354551676934,0.757193751712798,0.7462354551676934,0.743630227950232,0.7328193294225903,0.049452429842573586
9,svm,cproj_mutationfeatures_CLEAN2,0.9,0.09999999999999998,0.7460643394934976,0.7504004271222637,0.7460643394934976,0.7422651577882821,0.7300990625718886,0.06605065023956203
