,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,bb6,v0,187,v1,0.9010238907849829,0.8862275449101796,0.9010238907849829,0.9006878445786295,0.8979840600093765,0.030716723549488067
1,svm,apns,bb6,v0,187,v1,0.8361774744027304,0.7879581151832461,0.8361774744027304,0.8325172997348578,0.8262658227848101,0.11262798634812288
2,RandomForest,apns,187,v1,0c1,v2,0.8691588785046729,0.8070175438596491,0.8691588785046729,0.8699192290479977,0.8738260835396282,0.04906542056074764
3,svm,apns,187,v1,0c1,v2,0.7932242990654206,0.6890756302521008,0.7932242990654206,0.7939972295256018,0.8110871603150277,0.13901869158878505
4,RandomForest,apns,0c1,v2,557,v3,0.9450934579439252,0.9353932584269663,0.9450934579439252,0.9450824348092701,0.9433404624374799,0.0011682242990654346
5,svm,apns,0c1,v2,557,v3,0.9264018691588785,0.9016393442622951,0.9264018691588785,0.9265250735952537,0.9261127296610028,0.0105140186915888
6,RandomForest,apns,557,v3,153,v4,0.876803551609323,0.8287037037037037,0.876803551609323,0.8772218840133705,0.8800420273177565,0.041065482796892316
7,svm,apns,557,v3,153,v4,0.8657047724750278,0.8044444444444444,0.8657047724750278,0.8662162689547529,0.8712713263621353,0.061043285238623735
8,RandomForest,apns,153,v4,266,v5,0.8392370572207084,0.8516949152542372,0.8392370572207084,0.8386411423183666,0.8357703233685553,0.03360581289736603
9,svm,apns,153,v4,266,v5,0.773841961852861,0.6906158357771262,0.773841961852861,0.7709175554667265,0.7844624462379866,0.1571298819255223
10,RandomForest,assj,a6b,v0,859,v1,0.8111903952882547,0.7936195352500984,0.8111903952882547,0.7855823994894804,0.6999618726552743,0.16728961377279417
11,svm,assj,a6b,v0,859,v1,0.7772114622267527,0.760779902512186,0.7772114622267527,0.7329276712693615,0.639789654558383,0.2107826480915166
12,RandomForest,assj,859,v1,dd0,v2,0.9503285443813342,0.9460761460761461,0.9503285443813342,0.9496622383530717,0.9298575196722215,0.02762000222741956
13,svm,assj,859,v1,dd0,v2,0.9306158815012807,0.9172165566886623,0.9306158815012807,0.9286439525168082,0.8954082944041555,0.053569439803987096
14,RandomForest,assj,dd0,v2,dd1,v3,0.9091322643011487,0.9192928516525749,0.9091322643011487,0.9076635335047996,0.8747068595279801,0.028545433867849357
15,svm,assj,dd0,v2,dd1,v3,0.7798248606846355,0.7678660049627791,0.7798248606846355,0.7329511359771836,0.6263511793570665,0.20539065165472525
16,RandomForest,assj,dd1,v3,302,v4,0.7351487751025129,0.9643041903776514,0.7351487751025129,0.7672136619671438,0.7893392143179259,0.2213226790032593
