,ML_Algorithm,subject,Train,Test,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,apns,0.5,0.5,0.8245931283905967,0.8151815181518152,0.8245931283905967,0.8242646349146144,0.823159067085954,0.027124773960216952
1,svm,apns,0.5,0.5,0.8119349005424955,0.8194444444444444,0.8119349005424955,0.8119349005424955,0.8116090146750524,0.0
2,RandomForest,apns,0.6,0.4,0.832579185520362,0.8281938325991189,0.832579185520362,0.8325517535384709,0.8324835677867191,0.009049773755656076
3,svm,apns,0.6,0.4,0.8190045248868778,0.8294930875576036,0.8190045248868778,0.8189934072287013,0.8191125581014396,0.01357466063348417
4,RandomForest,apns,0.7,0.30000000000000004,0.8313253012048193,0.852760736196319,0.8313253012048193,0.831349786735401,0.8318985870473284,0.02409638554216864
5,svm,apns,0.7,0.30000000000000004,0.8192771084337349,0.8363636363636363,0.8192771084337349,0.8193164644641283,0.8196578402528059,0.018072289156626453
6,RandomForest,apns,0.8,0.19999999999999996,0.8371040723981901,0.8421052631578947,0.8371040723981901,0.8371040723981901,0.836940482046237,0.0
7,svm,apns,0.8,0.19999999999999996,0.8235294117647058,0.8260869565217391,0.8235294117647058,0.8235004685187933,0.8232087227414331,0.004524886877828038
8,RandomForest,apns,0.9,0.09999999999999998,0.8288288288288288,0.8305084745762712,0.8288288288288288,0.8287452287452287,0.8280741704619389,0.009009009009009028
9,svm,apns,0.9,0.09999999999999998,0.8288288288288288,0.819672131147541,0.8288288288288288,0.8284936645873254,0.8272608978529603,0.027027027027027084
10,RandomForest,assj,0.5,0.5,0.9183046683046683,0.9301948051948052,0.9183046683046683,0.9131333999536545,0.7938814090234653,0.04156429156429153
11,svm,assj,0.5,0.5,0.9002866502866503,0.9038804638715433,0.9002866502866503,0.8865506994228789,0.7151211738198604,0.07678132678132676
12,RandomForest,assj,0.6,0.4,0.9211873080859775,0.9344596562773084,0.9211873080859775,0.9168952379194857,0.8050559775272378,0.0363357215967246
13,svm,assj,0.6,0.4,0.9050665301944729,0.9094223219293326,0.9050665301944729,0.8933587633697174,0.7309569785875432,0.07036847492323439
14,RandomForest,assj,0.7,0.30000000000000004,0.9235755714773115,0.9347490347490347,0.9235755714773115,0.9189628558913534,0.8031790906992846,0.038894575230296824
15,svm,assj,0.7,0.30000000000000004,0.90992835209826,0.9142322097378277,0.90992835209826,0.8994237219847648,0.7412837969784658,0.06618901398839983
16,RandomForest,assj,0.8,0.19999999999999996,0.9216990788126919,0.9344547563805105,0.9216990788126919,0.9171838181872882,0.8014174827537267,0.03735926305015358
17,svm,assj,0.8,0.19999999999999996,0.913510747185261,0.9167604049493814,0.913510747185261,0.9036467057484915,0.7494157956074226,0.06499488229273287
18,RandomForest,assj,0.9,0.09999999999999998,0.9314227226202662,0.9415137614678899,0.9314227226202662,0.9272265705645973,0.8082991978153269,0.035823950870010224
19,svm,assj,0.9,0.09999999999999998,0.917093142272262,0.92,0.917093142272262,0.9065617680664989,0.7374807987711214,0.06448311156601838
20,RandomForest,joda,0.5,0.5,0.8352869723656241,0.873408656906429,0.8352869723656241,0.8321723630063367,0.7715083610555019,0.028545399331916133
21,svm,joda,0.5,0.5,0.829274218038263,0.8511153119092627,0.829274218038263,0.8204265232786276,0.7397600536008825,0.06844822350440327
22,RandomForest,joda,0.6,0.4,0.8402672335256605,0.877893691008445,0.8402672335256605,0.8373922673300617,0.7773981560302807,0.026875189796538135
23,svm,joda,0.6,0.4,0.833890069845126,0.8561689233974056,0.833890069845126,0.8257459433670342,0.7461092787570615,0.06453082295778922
24,RandomForest,joda,0.7,0.30000000000000004,0.843000303674461,0.8800158919348431,0.843000303674461,0.8402139726779354,0.780790285586217,0.026419678105071398
25,svm,joda,0.7,0.30000000000000004,0.8364206903532746,0.8586599241466498,0.8364206903532746,0.8286314445201712,0.7499301412910271,0.06275938860208519
26,RandomForest,joda,0.8,0.19999999999999996,0.8402672335256605,0.8784729162502498,0.8402672335256605,0.8376647100031632,0.780110159618242,0.02490130580018224
27,svm,joda,0.8,0.19999999999999996,0.8422411175220164,0.8634276970160674,0.8422411175220164,0.8354069476007985,0.7620683667203589,0.05906468266018827
28,RandomForest,joda,0.9,0.09999999999999998,0.8426966292134831,0.8841390331602077,0.8426966292134831,0.8407131613107988,0.7831100353314754,0.0188278165806256
29,svm,joda,0.9,0.09999999999999998,0.8433039781354388,0.868632707774799,0.8433039781354388,0.837257756955894,0.7632726235880393,0.051624658366231424
30,RandomForest,lafj,0.5,0.5,0.8431174089068826,0.8544642857142857,0.8431174089068826,0.8408258665111771,0.8175753975310766,0.041093117408906865
31,svm,lafj,0.5,0.5,0.8327935222672065,0.82637916549986,0.8327935222672065,0.8269570723608611,0.7935098156292909,0.08380566801619438
32,RandomForest,lafj,0.6,0.4,0.8433704453441295,0.8585329341317365,0.8433704453441295,0.8414527947384729,0.819085102147911,0.03466599190283404
33,svm,lafj,0.6,0.4,0.833248987854251,0.8333333333333334,0.833248987854251,0.8284933849270647,0.7970341820024248,0.0705971659919028
34,RandomForest,lafj,0.7,0.30000000000000004,0.8491902834008097,0.8570724494825037,0.8491902834008097,0.846738490732145,0.8228292561513298,0.04487179487179482
35,svm,lafj,0.7,0.30000000000000004,0.8333333333333334,0.8287992495309568,0.8333333333333334,0.8278649453823237,0.7951008628454936,0.07962213225371118
36,RandomForest,lafj,0.8,0.19999999999999996,0.8446356275303644,0.8649468892261002,0.8446356275303644,0.8433184034988606,0.8232885598590254,0.02479757085020251
37,svm,lafj,0.8,0.19999999999999996,0.8415991902834008,0.8414285714285714,0.8415991902834008,0.8373997955677378,0.8071435816327328,0.06629554655870451
38,RandomForest,lafj,0.9,0.09999999999999998,0.8380566801619433,0.8558692421991084,0.8380566801619433,0.8360088918922456,0.8117357439767545,0.03441295546558709
39,svm,lafj,0.9,0.09999999999999998,0.840080971659919,0.8326417704011065,0.840080971659919,0.8340733088122052,0.7976960777719485,0.08502024291497978
40,RandomForest,lang,0.5,0.5,0.8577170418006431,0.8931292274830901,0.8577170418006431,0.8494732353078979,0.7046420854829574,0.0433465248577789
41,svm,lang,0.5,0.5,0.862911204551076,0.8784436432895721,0.862911204551076,0.8445914611455423,0.6679402234930585,0.08391046252782586
42,RandomForest,lang,0.6,0.4,0.8606430669346112,0.895848182466144,0.8606430669346112,0.8529377428795667,0.71045005771944,0.04135105889627444
43,svm,lang,0.6,0.4,0.8662853609522337,0.882046908315565,0.8662853609522337,0.8493685953165824,0.6762983733355197,0.08007420003091659
44,RandomForest,lang,0.7,0.30000000000000004,0.8650932701226425,0.8996317852476541,0.8650932701226425,0.8579401716222784,0.7173833450270375,0.03926620632793987
45,svm,lang,0.7,0.30000000000000004,0.8706585592084922,0.8866719872306464,0.8706585592084922,0.8552254636443517,0.6852661195656965,0.07554364629496035
46,RandomForest,lang,0.8,0.19999999999999996,0.8676766115319214,0.9020203826211336,0.8676766115319214,0.8611559723131983,0.7257113721110394,0.03710001545833974
47,svm,lang,0.8,0.19999999999999996,0.8712320296800123,0.8861927546138072,0.8712320296800123,0.8555605621925569,0.6860141735415173,0.07713711547379809
48,RandomForest,lang,0.9,0.09999999999999998,0.8686244204018547,0.8981185658501952,0.8686244204018547,0.8604723003031494,0.7210515112813963,0.04605873261205573
49,svm,lang,0.9,0.09999999999999998,0.8723338485316847,0.8836338890779176,0.8723338485316847,0.8553741397589331,0.6851068513362366,0.08377125193199386
50,RandomForest,msg,0.5,0.5,0.8282828282828283,0.8405003909304144,0.8282828282828283,0.8276381161824744,0.8203449270053801,0.019967112990368796
51,svm,msg,0.5,0.5,0.8318064364575992,0.8306360557019195,0.8318064364575992,0.8302501350173308,0.8200980907704554,0.04322292694385721
52,RandomForest,msg,0.6,0.4,0.8273634762184381,0.8474827245804541,0.8273634762184381,0.8270791686769874,0.8205357523557754,0.008807985907222537
53,svm,msg,0.6,0.4,0.8314738696418086,0.835377358490566,0.8314738696418086,0.8301368061560471,0.8198784093008713,0.036406341749853244
54,RandomForest,msg,0.7,0.30000000000000004,0.8227005870841487,0.8390879478827361,0.8227005870841487,0.8221539511941469,0.8146579405905117,0.016046966731898316
55,svm,msg,0.7,0.30000000000000004,0.8246575342465754,0.8192918192918193,0.8246575342465754,0.8223058588577644,0.8096388065614643,0.05636007827788658
56,RandomForest,msg,0.8,0.19999999999999996,0.8256018790369936,0.8322147651006712,0.8256018790369936,0.8245091217909691,0.8156629407681301,0.031121550205519655
57,svm,msg,0.8,0.19999999999999996,0.8326482677627716,0.8242870285188593,0.8326482677627716,0.8304488280060095,0.8185841585561081,0.05695830886670572
58,RandomForest,msg,0.9,0.09999999999999998,0.8251173708920188,0.8346153846153846,0.8251173708920188,0.8241674646010543,0.8154929577464789,0.02699530516431925
59,svm,msg,0.9,0.09999999999999998,0.8368544600938967,0.8364661654135338,0.8368544600938967,0.8353993449231544,0.8251509054325955,0.04107981220657275
60,RandomForest,uaa,0.5,0.5,0.8015227093725388,0.7742484401588202,0.8015227093725388,0.8017007362772054,0.8007135428462363,0.010501443948542966
61,svm,uaa,0.5,0.5,0.7965345234969808,0.7705479452054794,0.7965345234969808,0.7966714115203197,0.7954018971792716,0.00761354686269361
62,RandomForest,uaa,0.6,0.4,0.803477690288714,0.7801664355062413,0.803477690288714,0.8036256550311924,0.803199333704941,0.01148293963254593
63,svm,uaa,0.6,0.4,0.7985564304461942,0.7732598208132323,0.7985564304461942,0.7987384091708333,0.7984769284941186,0.014435695538057736
64,RandomForest,uaa,0.7,0.30000000000000004,0.8062117235345582,0.7835820895522388,0.8062117235345582,0.8063393073600655,0.8056922845795599,0.009186351706036766
65,svm,uaa,0.7,0.30000000000000004,0.7965879265091863,0.7649186256781193,0.7965879265091863,0.796864978864399,0.7972106765486504,0.024059492563429596
66,RandomForest,uaa,0.8,0.19999999999999996,0.7880577427821522,0.7701949860724234,0.7880577427821522,0.7881186628141937,0.7874128741287413,0.004593175853018383
67,svm,uaa,0.8,0.19999999999999996,0.7985564304461942,0.7693333333333333,0.7985564304461942,0.7987698977782578,0.7993704620590509,0.025590551181102372
68,RandomForest,uaa,0.9,0.09999999999999998,0.7939632545931758,0.7609254498714653,0.7939632545931758,0.7940970688883968,0.7954394693200664,0.03805774278215229
69,svm,uaa,0.9,0.09999999999999998,0.8018372703412073,0.7605985037406484,0.8018372703412073,0.8018512628838127,0.8042081260364843,0.05380577427821526
70,RandomForest,vrapt,0.5,0.5,0.8490052356020943,0.8669711675706537,0.8490052356020943,0.8455674036058616,0.8041557866431136,0.04418848167539269
71,svm,vrapt,0.5,0.5,0.8178010471204189,0.8210498409331919,0.8178010471204189,0.8064016707766619,0.7428035147631029,0.1005235602094241
72,RandomForest,vrapt,0.6,0.4,0.8570680628272251,0.876521116678597,0.8570680628272251,0.8542721260646158,0.8146395742622158,0.03769633507853398
73,svm,vrapt,0.6,0.4,0.8282722513089005,0.8361429534726905,0.8282722513089005,0.8196979985051918,0.7602322206095791,0.08272251308900525
74,RandomForest,vrapt,0.7,0.30000000000000004,0.8582897033158813,0.8752380952380953,0.8582897033158813,0.8552645751089267,0.8153151866229816,0.04118673647469462
75,svm,vrapt,0.7,0.30000000000000004,0.8251308900523561,0.8331084120557805,0.8251308900523561,0.8163244760851441,0.7571255683941429,0.0841186736474695
76,RandomForest,vrapt,0.8,0.19999999999999996,0.8554973821989529,0.8782420749279539,0.8554973821989529,0.8530976737379202,0.8149613111841154,0.032460732984293195
77,svm,vrapt,0.8,0.19999999999999996,0.8235602094240838,0.8348002708192281,0.8235602094240838,0.8152141612124196,0.7560280171077916,0.07905759162303672
78,RandomForest,vrapt,0.9,0.09999999999999998,0.8554973821989529,0.8782608695652174,0.8554973821989529,0.8532323610072301,0.8167180277349769,0.03141361256544506
79,svm,vrapt,0.9,0.09999999999999998,0.8261780104712042,0.8337837837837838,0.8261780104712042,0.817511255811225,0.7589496661530559,0.08376963350785349
80,RandomForest,wire,0.5,0.5,0.8733595800524935,0.8807511737089202,0.8733595800524935,0.8712810538829944,0.8450160894882011,0.04002624671916011
81,svm,wire,0.5,0.5,0.8576115485564304,0.8606782768102658,0.8576115485564304,0.8540686950114826,0.8214756359178668,0.057086614173228356
82,RandomForest,wire,0.6,0.4,0.8712059064807219,0.8774566473988439,0.8712059064807219,0.8686784474204817,0.838934166440279,0.0451189499589828
83,svm,wire,0.6,0.4,0.859721082854799,0.8577827547592385,0.859721082854799,0.8552189959736592,0.8175827824564579,0.0680885972108286
84,RandomForest,wire,0.7,0.30000000000000004,0.8699453551912568,0.8830769230769231,0.8699453551912568,0.8678274941524002,0.8376371923030902,0.0360655737704918
85,svm,wire,0.7,0.30000000000000004,0.8688524590163934,0.8736842105263158,0.8688524590163934,0.8655639512645242,0.8298869829114681,0.05245901639344264
86,RandomForest,wire,0.8,0.19999999999999996,0.8672131147540983,0.8812785388127854,0.8672131147540983,0.864842427863977,0.831726907630522,0.03770491803278686
