,ML_Algorithm,subject,Train,Test,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
0,RandomForest,cproj_mutationfeatures_CLEAN2,0.5,0.5,0.8619592004381161,0.8636988655895497,0.8619592004381161,0.8613594982627697,0.8553058178892083,0.0248151697699891
1,svm,cproj_mutationfeatures_CLEAN2,0.5,0.5,0.7343921139101862,0.7014690686913159,0.7343921139101862,0.7154585231768669,0.7005979170695704,0.1892798466593647
2,RandomForest,cproj_mutationfeatures_CLEAN2,0.6,0.4,0.8704915928635605,0.8700790204314088,0.8704915928635605,0.8698671551756842,0.8635116792303441,0.026654687032045543
3,svm,cproj_mutationfeatures_CLEAN2,0.6,0.4,0.7584392247465024,0.7253186558516802,0.7584392247465024,0.7446934190233099,0.7280265640523523,0.16412099430967353
4,RandomForest,cproj_mutationfeatures_CLEAN2,0.7,0.30000000000000004,0.8749572162007986,0.8705001894657067,0.8749572162007986,0.8742659762562296,0.8678683398324836,0.0309184255561894
5,svm,cproj_mutationfeatures_CLEAN2,0.7,0.30000000000000004,0.777124928693668,0.7427844478015425,0.777124928693668,0.7668618098455648,0.7512394170247869,0.14620650313747863
6,RandomForest,cproj_mutationfeatures_CLEAN2,0.8,0.19999999999999996,0.8794386925643878,0.870935960591133,0.8794386925643878,0.8786254459313615,0.8716018532138838,0.03636519209377942
7,svm,cproj_mutationfeatures_CLEAN2,0.8,0.19999999999999996,0.7969538803799093,0.7626539821929503,0.7969538803799093,0.7891649427946402,0.7737109812729246,0.12997347480106103
8,RandomForest,cproj_mutationfeatures_CLEAN2,0.9,0.09999999999999998,0.8797056810403833,0.8718164007836552,0.8797056810403833,0.8788592708576894,0.8713516505636072,0.03644763860369615
9,svm,cproj_mutationfeatures_CLEAN2,0.9,0.09999999999999998,0.8085215605749486,0.7813206126035651,0.8085215605749486,0.8029169395742619,0.7877731769036117,0.10660506502395617
